"date","city","region","country","max_temp_c","min_temp_c","avg_temp_c","uv","sunrise","sunset","total_precip_mm","avg_vis_km","avg_humidity","max_wind_kph","daily_will_it_rain","daily_chance_of_rain","condition_text","condition_icon","condition_code"
2023-06-15,Salzburg,Salzburg,Austria,21.4,10.0,16.2,5.0,"05:09 AM","09:08 PM",0.3,10.0,68,10.8,1,100,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,"1063"
2023-06-16,Salzburg,Salzburg,Austria,21.1,10.8,15.4,5.0,"05:09 AM","09:09 PM",5.4,9.3,76,12.2,1,100,Moderate or heavy rain shower,//cdn.weatherapi.com/weather/64x64/day/356.png,"1243"
2023-06-17,Salzburg,Salzburg,Austria,23.1,8.7,16.8,5.0,"05:09 AM","09:09 PM",0.1,10.0,66,10.4,1,100,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,"1063"
2023-06-18,Salzburg,Salzburg,Austria,28.6,10.1,19.7,7.0,"05:09 AM","09:09 PM",0.0,10.0,58,10.4,0,0,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,"1000"
2023-06-19,Salzburg,Salzburg,Austria,29.9,12.9,21.4,7.0,"05:09 AM","09:10 PM",0.0,10.0,65,8.6,0,0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,"1003"
2023-06-20,Salzburg,Salzburg,Austria,31.2,13.5,22.9,8.0,"05:09 AM","09:10 PM",0.0,10.0,65,11.2,0,0,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,"1000"
2023-06-21,Salzburg,Salzburg,Austria,30.8,16.1,22.8,7.0,"05:09 AM","09:10 PM",1.45,9.9,69,13.7,1,100,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,"1063"
2023-06-22,Salzburg,Salzburg,Austria,33.3,15.1,23.3,7.0,"05:09 AM","09:10 PM",5.95,9.3,69,18.4,1,100,Moderate or heavy rain shower,//cdn.weatherapi.com/weather/64x64/day/356.png,"1243"
2023-06-23,Salzburg,Salzburg,Austria,20.4,13.9,18.2,5.0,"05:10 AM","09:11 PM",3.4,9.0,83,17.6,1,100,Moderate rain at times,//cdn.weatherapi.com/weather/64x64/day/299.png,"1186"
2023-06-24,Salzburg,Salzburg,Austria,22.7,12.9,17.0,5.0,"05:10 AM","09:11 PM",3.8,9.7,69,9.4,1,100,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,"1063"
2023-06-25,Salzburg,Salzburg,Austria,27.4,9.8,19.0,7.0,"05:10 AM","09:11 PM",0.0,10.0,62,10.1,0,0,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,"1000"
2023-06-26,Salzburg,Salzburg,Austria,29.9,11.3,21.2,7.0,"05:11 AM","09:11 PM",0.9,9.9,62,14.0,1,100,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,"1003"
2023-06-27,Salzburg,Salzburg,Austria,23.1,14.9,18.2,5.0,"05:11 AM","09:11 PM",2.85,8.8,75,12.6,1,100,Cloudy,//cdn.weatherapi.com/weather/64x64/day/119.png,"1006"
2023-06-28,Salzburg,Salzburg,Austria,19.5,11.8,15.2,4.0,"05:12 AM","09:11 PM",6.1,7.1,89,8.3,1,100,Moderate rain at times,//cdn.weatherapi.com/weather/64x64/day/299.png,"1186"
2023-06-29,Salzburg,Salzburg,Austria,25.9,10.1,18.8,7.0,"05:12 AM","09:11 PM",0.0,10.0,68,9.7,0,0,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,"1000"
2023-06-30,Salzburg,Salzburg,Austria,21.0,13.1,17.6,5.0,"05:13 AM","09:10 PM",5.7,8.6,90,7.2,1,100,Moderate or heavy rain shower,//cdn.weatherapi.com/weather/64x64/day/356.png,"1243"
2023-07-01,Salzburg,Salzburg,Austria,20.0,14.7,16.5,5.0,"05:13 AM","09:10 PM",9.3,9.0,87,9.0,1,100,Moderate or heavy rain shower,//cdn.weatherapi.com/weather/64x64/day/356.png,"1243"
2023-07-02,Salzburg,Salzburg,Austria,21.5,14.8,17.4,5.0,"05:14 AM","09:10 PM",3.5,8.9,82,13.1,1,100,Moderate rain at times,//cdn.weatherapi.com/weather/64x64/day/299.png,"1186"
2023-07-03,Salzburg,Salzburg,Austria,22.3,12.9,18.2,5.0,"05:15 AM","09:10 PM",0.0,10.0,79,8.6,0,0,Cloudy,//cdn.weatherapi.com/weather/64x64/day/119.png,"1006"
2023-07-04,Salzburg,Salzburg,Austria,24.1,12.5,18.7,5.0,"05:15 AM","09:09 PM",0.6,9.5,81,9.7,1,100,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,"1063"
2023-07-05,Salzburg,Salzburg,Austria,24.1,11.9,17.7,5.0,"05:16 AM","09:09 PM",4.7,9.0,83,11.5,1,100,Moderate or heavy rain shower,//cdn.weatherapi.com/weather/64x64/day/356.png,"1243"
2023-07-06,Salzburg,Salzburg,Austria,23.1,12.4,18.0,5.0,"05:17 AM","09:09 PM",0.0,9.4,78,8.6,0,0,Cloudy,//cdn.weatherapi.com/weather/64x64/day/119.png,"1006"
2023-07-07,Salzburg,Salzburg,Austria,28.7,11.1,20.2,7.0,"05:17 AM","09:08 PM",0.0,10.0,62,9.7,0,0,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,"1000"
2023-07-08,Salzburg,Salzburg,Austria,30.3,12.3,22.0,8.0,"05:18 AM","09:08 PM",0.0,10.0,65,8.6,0,0,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,"1000"
2023-07-09,Salzburg,Salzburg,Austria,33.1,14.1,24.4,8.0,"05:19 AM","09:07 PM",0.0,10.0,60,10.1,0,0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,"1003"
2023-07-10,Salzburg,Salzburg,Austria,32.5,16.4,23.8,7.0,"05:20 AM","09:06 PM",3.8,9.3,68,17.3,1,100,Heavy rain at times,//cdn.weatherapi.com/weather/64x64/day/305.png,"1192"
2023-07-11,Salzburg,Salzburg,Austria,33.7,16.4,25.7,8.0,"05:21 AM","09:06 PM",0.1,9.9,66,14.5,1,100,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,"1003"
2023-07-12,Salzburg,Salzburg,Austria,28.4,19.0,22.9,6.0,"05:22 AM","09:05 PM",4.8,8.7,79,16.9,1,100,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,"1063"
2023-07-13,Salzburg,Salzburg,Austria,20.8,15.8,18.2,5.0,"05:23 AM","09:04 PM",24.75,8.2,91,10.8,1,100,Moderate or heavy rain shower,//cdn.weatherapi.com/weather/64x64/day/356.png,"1243"
