"date","city","region","country","max_temp_c","min_temp_c","avg_temp_c","uv","sunrise","sunset","total_precip_mm","avg_vis_km","avg_humidity","max_wind_kph","daily_will_it_rain","daily_chance_of_rain","condition_text","condition_icon","condition_code"
2023-06-15,Trondheim,Sor-Trondelag,Norway,22.7,11.3,16.9,6.0,"03:04 AM","11:34 PM",0.0,10.0,50,8.6,0,0,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,"1000"
2023-06-16,Trondheim,Sor-Trondelag,Norway,22.4,10.6,16.6,6.0,"03:04 AM","11:35 PM",0.0,10.0,60,9.0,0,0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,"1003"
2023-06-17,Trondheim,Sor-Trondelag,Norway,22.3,11.5,17.2,5.0,"03:03 AM","11:36 PM",4.55,9.0,78,6.5,1,100,Moderate or heavy rain shower,//cdn.weatherapi.com/weather/64x64/day/356.png,"1243"
2023-06-18,Trondheim,Sor-Trondelag,Norway,27.5,12.5,20.6,7.0,"03:03 AM","11:37 PM",0.0,9.7,57,8.3,0,0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,"1003"
2023-06-19,Trondheim,Sor-Trondelag,Norway,25.5,16.1,20.1,6.0,"03:03 AM","11:37 PM",0.8,10.0,56,20.5,1,100,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,"1063"
2023-06-20,Trondheim,Sor-Trondelag,Norway,22.5,14.9,18.8,5.0,"03:02 AM","11:38 PM",0.7,10.0,70,9.0,1,100,Moderate rain at times,//cdn.weatherapi.com/weather/64x64/day/299.png,"1186"
2023-06-21,Trondheim,Sor-Trondelag,Norway,28.0,13.9,20.4,7.0,"03:02 AM","11:38 PM",0.3,8.3,65,16.9,1,100,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,"1003"
2023-06-22,Trondheim,Sor-Trondelag,Norway,16.3,12.5,14.4,4.0,"03:03 AM","11:38 PM",26.9,8.3,86,20.9,1,100,Moderate or heavy rain shower,//cdn.weatherapi.com/weather/64x64/day/356.png,"1243"
2023-06-23,Trondheim,Sor-Trondelag,Norway,12.3,9.8,10.9,3.0,"03:03 AM","11:38 PM",14.7,7.5,90,22.6,1,100,Moderate or heavy rain shower,//cdn.weatherapi.com/weather/64x64/day/356.png,"1243"
2023-06-24,Trondheim,Sor-Trondelag,Norway,19.3,7.5,14.3,5.0,"03:04 AM","11:38 PM",0.0,10.0,68,8.3,0,0,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,"1000"
2023-06-25,Trondheim,Sor-Trondelag,Norway,24.5,10.4,18.4,6.0,"03:04 AM","11:38 PM",0.0,10.0,56,8.3,0,0,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,"1000"
2023-06-26,Trondheim,Sor-Trondelag,Norway,28.1,14.5,21.9,7.0,"03:05 AM","11:37 PM",0.0,10.0,50,18.4,0,0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,"1003"
2023-06-27,Trondheim,Sor-Trondelag,Norway,20.0,12.9,16.7,5.0,"03:06 AM","11:36 PM",0.9,10.0,71,15.8,1,100,Moderate rain at times,//cdn.weatherapi.com/weather/64x64/day/299.png,"1186"
2023-06-28,Trondheim,Sor-Trondelag,Norway,23.0,11.1,16.9,5.0,"03:07 AM","11:36 PM",1.25,7.9,82,10.4,1,100,Cloudy,//cdn.weatherapi.com/weather/64x64/day/119.png,"1006"
2023-06-29,Trondheim,Sor-Trondelag,Norway,14.7,11.5,13.3,3.0,"03:08 AM","11:35 PM",6.6,5.9,90,9.0,1,100,Heavy rain at times,//cdn.weatherapi.com/weather/64x64/day/305.png,"1192"
2023-06-30,Trondheim,Sor-Trondelag,Norway,11.6,10.0,10.8,3.0,"03:10 AM","11:34 PM",39.0,5.3,99,8.3,1,100,Moderate or heavy rain shower,//cdn.weatherapi.com/weather/64x64/day/356.png,"1243"
2023-07-01,Trondheim,Sor-Trondelag,Norway,15.0,8.4,11.3,3.0,"03:11 AM","11:32 PM",20.75,5.6,95,10.8,1,100,Moderate or heavy rain shower,//cdn.weatherapi.com/weather/64x64/day/356.png,"1243"
2023-07-02,Trondheim,Sor-Trondelag,Norway,19.6,11.6,16.3,4.0,"03:13 AM","11:31 PM",0.0,10.0,69,14.0,0,0,Cloudy,//cdn.weatherapi.com/weather/64x64/day/119.png,"1006"
2023-07-03,Trondheim,Sor-Trondelag,Norway,15.4,10.5,13.4,4.0,"03:15 AM","11:30 PM",11.4,9.8,83,9.0,1,100,Heavy rain at times,//cdn.weatherapi.com/weather/64x64/day/305.png,"1192"
2023-07-04,Trondheim,Sor-Trondelag,Norway,13.5,9.5,11.1,3.0,"03:16 AM","11:28 PM",7.35,5.2,96,7.6,1,100,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,"1063"
2023-07-05,Trondheim,Sor-Trondelag,Norway,17.7,9.1,13.7,4.0,"03:18 AM","11:27 PM",0.0,10.0,68,7.9,0,0,Cloudy,//cdn.weatherapi.com/weather/64x64/day/119.png,"1006"
2023-07-06,Trondheim,Sor-Trondelag,Norway,19.9,11.3,15.6,4.0,"03:20 AM","11:25 PM",1.6,9.8,80,7.6,1,100,Moderate rain at times,//cdn.weatherapi.com/weather/64x64/day/299.png,"1186"
2023-07-07,Trondheim,Sor-Trondelag,Norway,15.8,11.6,13.8,4.0,"03:22 AM","11:23 PM",4.0,9.0,83,11.9,1,100,Moderate or heavy rain shower,//cdn.weatherapi.com/weather/64x64/day/356.png,"1243"
2023-07-08,Trondheim,Sor-Trondelag,Norway,19.8,11.0,15.6,5.0,"03:25 AM","11:21 PM",0.0,9.7,73,8.3,0,0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,"1003"
2023-07-09,Trondheim,Sor-Trondelag,Norway,22.5,10.3,17.8,5.0,"03:27 AM","11:19 PM",0.0,10.0,64,8.3,0,0,Overcast,//cdn.weatherapi.com/weather/64x64/day/122.png,"1009"
2023-07-10,Trondheim,Sor-Trondelag,Norway,27.3,13.2,20.2,6.0,"03:29 AM","11:17 PM",0.4,10.0,64,12.2,1,100,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,"1063"
2023-07-11,Trondheim,Sor-Trondelag,Norway,23.4,12.0,18.4,5.0,"03:32 AM","11:15 PM",1.7,8.3,63,18.7,1,100,Moderate rain at times,//cdn.weatherapi.com/weather/64x64/day/299.png,"1186"
2023-07-12,Trondheim,Sor-Trondelag,Norway,21.1,14.8,17.3,5.0,"03:34 AM","11:12 PM",3.8,10.0,58,21.2,1,100,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,"1063"
2023-07-13,Trondheim,Sor-Trondelag,Norway,15.2,12.0,13.6,4.0,"03:37 AM","11:10 PM",7.0,8.3,92,12.6,1,100,Moderate rain at times,//cdn.weatherapi.com/weather/64x64/day/299.png,"1186"
2023-07-14,Trondheim,Sor-Trondelag,Norway,13.9,9.6,11.7,3.0,"03:39 AM","11:07 PM",13.05,8.9,82,22.0,1,100,Moderate or heavy rain shower,//cdn.weatherapi.com/weather/64x64/day/356.png,"1243"
2023-07-15,Trondheim,Sor-Trondelag,Norway,22.3,8.5,16.2,5.0,"03:42 AM","11:05 PM",0.1,10.0,66,16.8,1,100,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,"1063"
2023-07-16,Trondheim,Sor-Trondelag,Norway,21.9,15.3,17.8,5.0,"03:45 AM","11:02 PM",4.4,9.5,66,20.2,1,100,Moderate or heavy rain shower,//cdn.weatherapi.com/weather/64x64/day/356.png,"1243"
2023-07-17,Trondheim,Sor-Trondelag,Norway,19.3,11.4,15.2,4.0,"03:47 AM","11:00 PM",2.8,9.5,78,18.0,1,100,Moderate rain at times,//cdn.weatherapi.com/weather/64x64/day/299.png,"1186"
2023-07-18,Trondheim,Sor-Trondelag,Norway,14.9,9.6,12.2,3.0,"03:50 AM","10:57 PM",3.8,9.0,81,21.6,1,100,Heavy rain at times,//cdn.weatherapi.com/weather/64x64/day/305.png,"1192"
2023-07-19,Trondheim,Sor-Trondelag,Norway,15.9,9.0,12.6,4.0,"03:53 AM","10:54 PM",1.2,9.0,81,10.1,1,100,Moderate rain at times,//cdn.weatherapi.com/weather/64x64/day/299.png,"1186"
2023-07-20,Trondheim,Sor-Trondelag,Norway,15.8,10.2,12.9,4.0,"03:56 AM","10:52 PM",0.3,9.7,84,9.0,1,100,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,"1063"
2023-07-21,Trondheim,Sor-Trondelag,Norway,13.3,9.2,11.2,3.0,"03:58 AM","10:49 PM",8.2,6.5,93,6.5,1,100,Heavy rain at times,//cdn.weatherapi.com/weather/64x64/day/305.png,"1192"
2023-07-22,Trondheim,Sor-Trondelag,Norway,15.1,9.1,12.4,4.0,"04:01 AM","10:46 PM",1.6,7.3,87,6.8,1,100,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,"1063"
2023-07-23,Trondheim,Sor-Trondelag,Norway,15.5,9.7,12.9,4.0,"04:04 AM","10:43 PM",0.9,9.7,81,5.0,1,100,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,"1063"
2023-07-24,Trondheim,Sor-Trondelag,Norway,19.6,8.0,14.5,5.0,"04:07 AM","10:40 PM",0.0,8.3,74,10.4,0,0,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,"1000"
2023-07-25,Trondheim,Sor-Trondelag,Norway,19.0,10.3,14.9,4.0,"04:10 AM","10:37 PM",0.6,9.6,79,5.8,1,100,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,"1063"
2023-07-26,Trondheim,Sor-Trondelag,Norway,19.3,11.1,15.4,4.0,"04:13 AM","10:34 PM",0.9,9.5,81,6.1,1,100,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,"1063"
2023-07-27,Trondheim,Sor-Trondelag,Norway,19.4,11.1,15.5,4.0,"04:16 AM","10:31 PM",6.05,9.3,79,10.4,1,100,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,"1063"
2023-07-28,Trondheim,Sor-Trondelag,Norway,17.1,12.4,14.3,4.0,"04:19 AM","10:28 PM",2.5,7.0,89,6.8,1,100,Moderate rain at times,//cdn.weatherapi.com/weather/64x64/day/299.png,"1186"
2023-07-29,Trondheim,Sor-Trondelag,Norway,19.1,10.4,14.8,4.0,"04:22 AM","10:25 PM",0.1,7.8,79,6.8,1,100,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,"1063"
2023-07-30,Trondheim,Sor-Trondelag,Norway,21.9,10.3,16.7,6.0,"04:25 AM","10:22 PM",0.0,9.0,73,8.6,0,0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,"1003"
2023-07-31,Trondheim,Sor-Trondelag,Norway,19.5,11.4,15.3,4.0,"04:28 AM","10:19 PM",0.9,6.8,88,6.1,1,100,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,"1063"
2023-08-01,Trondheim,Sor-Trondelag,Norway,19.2,11.1,15.4,4.0,"04:31 AM","10:16 PM",0.9,9.9,74,14.8,1,100,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,"1063"
2023-08-02,Trondheim,Sor-Trondelag,Norway,18.9,12.0,15.0,4.0,"04:34 AM","10:13 PM",0.0,8.8,82,9.4,0,0,Overcast,//cdn.weatherapi.com/weather/64x64/day/122.png,"1009"
2023-08-03,Trondheim,Sor-Trondelag,Norway,18.8,11.2,14.9,4.0,"04:37 AM","10:10 PM",0.6,8.8,80,9.4,1,100,Patchy rain possible,//cdn.weatherapi.com/weather/64x64/day/176.png,"1063"
